comment_id,user_id,comment_text,rating,is_purchased
51,user_51,商品质量非常好，物流也很快，非常满意！,5,
52,user_52,客服态度好，包装完整，下次还会再来。,5,True
53,user_53,性价比超高，强烈推荐大家购买！,5,
54,user_54,发货迅速，快递员服务态度好，点赞！,5,True
55,user_55,颜色和图片一模一样，实物比想象中还好看。,4,False
56,,商品质量非常好，物流也很快，非常满意！,5,True
57,user_57,客服态度好，包装完整，下次还会再来。,5,
58,user_58,性价比超高，强烈推荐大家购买！,4,True
59,user_59,发货迅速，快递员服务态度好，点赞！,5,
60,user_60,颜色和图片一模一样，实物比想象中还好看。,4,
61,user_61,商品质量非常好，物流也很快，非常满意！,4,True
62,user_62,客服态度好，包装完整，下次还会再来。,4,
63,,性价比超高，强烈推荐大家购买！,4,True
64,user_64,发货迅速，快递员服务态度好，点赞！,5,False
65,user_65,颜色和图片一模一样，实物比想象中还好看。,5,
66,user_66,商品质量非常好，物流也很快，非常满意！,5,
67,user_67,客服态度好，包装完整，下次还会再来。,4,
68,user_68,性价比超高，强烈推荐大家购买！,5,
69,user_69,发货迅速，快递员服务态度好，点赞！,4,False
70,,颜色和图片一模一样，实物比想象中还好看。,4,False
71,user_71,商品质量非常好，物流也很快，非常满意！,4,True
72,user_72,客服态度好，包装完整，下次还会再来。,5,
73,user_73,性价比超高，强烈推荐大家购买！,5,
74,user_74,发货迅速，快递员服务态度好，点赞！,5,False
75,user_75,颜色和图片一模一样，实物比想象中还好看。,4,True
76,user_76,商品质量非常好，物流也很快，非常满意！,4,False
77,,客服态度好，包装完整，下次还会再来。,5,False
78,user_78,性价比超高，强烈推荐大家购买！,4,True
79,user_79,发货迅速，快递员服务态度好，点赞！,5,
80,user_80,颜色和图片一模一样，实物比想象中还好看。,5,
81,user_81,商品质量非常好，物流也很快，非常满意！,5,False
82,user_82,客服态度好，包装完整，下次还会再来。,4,False
83,user_83,性价比超高，强烈推荐大家购买！,5,False
84,,发货迅速，快递员服务态度好，点赞！,4,True
85,user_85,颜色和图片一模一样，实物比想象中还好看。,4,True
86,user_86,商品质量非常好，物流也很快，非常满意！,5,False
87,user_87,客服态度好，包装完整，下次还会再来。,5,
88,user_88,性价比超高，强烈推荐大家购买！,5,
89,user_89,发货迅速，快递员服务态度好，点赞！,5,True
90,user_90,颜色和图片一模一样，实物比想象中还好看。,4,True
91,,商品质量非常好，物流也很快，非常满意！,4,
92,user_92,客服态度好，包装完整，下次还会再来。,5,True
93,user_93,性价比超高，强烈推荐大家购买！,4,
94,user_94,发货迅速，快递员服务态度好，点赞！,4,False
95,user_95,颜色和图片一模一样，实物比想象中还好看。,4,True
96,user_96,商品质量非常好，物流也很快，非常满意！,4,False
97,user_97,客服态度好，包装完整，下次还会再来。,4,True
98,,性价比超高，强烈推荐大家购买！,5,True
99,user_99,发货迅速，快递员服务态度好，点赞！,4,False
100,user_100,颜色和图片一模一样，实物比想象中还好看。,5,False
101,user_101,太失望了，跟描述完全不符，浪费钱。,2,True
102,user_102,物流慢得要死，等了一个星期才收到。,2,False
103,user_103,客服不理人，售后也不解决问题，差评！,2,
104,user_104,用了两次就坏了，质量太差了，不推荐。,1,
105,,图片是骗人的，实际产品非常廉价感。,1,False
106,user_106,太失望了，跟描述完全不符，浪费钱。,2,
107,user_107,物流慢得要死，等了一个星期才收到。,2,
108,user_108,客服不理人，售后也不解决问题，差评！,1,
109,user_109,用了两次就坏了，质量太差了，不推荐。,2,True
110,user_110,图片是骗人的，实际产品非常廉价感。,2,
111,user_111,太失望了，跟描述完全不符，浪费钱。,1,
112,,物流慢得要死，等了一个星期才收到。,2,False
113,user_113,客服不理人，售后也不解决问题，差评！,1,
114,user_114,用了两次就坏了，质量太差了，不推荐。,2,True
115,user_115,图片是骗人的，实际产品非常廉价感。,1,True
116,user_116,太失望了，跟描述完全不符，浪费钱。,1,False
117,user_117,物流慢得要死，等了一个星期才收到。,2,True
118,user_118,客服不理人，售后也不解决问题，差评！,1,True
119,,用了两次就坏了，质量太差了，不推荐。,1,
120,user_120,图片是骗人的，实际产品非常廉价感。,2,
121,user_121,太失望了，跟描述完全不符，浪费钱。,1,True
122,user_122,物流慢得要死，等了一个星期才收到。,1,False
123,user_123,客服不理人，售后也不解决问题，差评！,2,False
124,user_124,用了两次就坏了，质量太差了，不推荐。,2,
125,user_125,图片是骗人的，实际产品非常廉价感。,1,True
126,,太失望了，跟描述完全不符，浪费钱。,1,
127,user_127,物流慢得要死，等了一个星期才收到。,2,False
128,user_128,客服不理人，售后也不解决问题，差评！,2,True
129,user_129,用了两次就坏了，质量太差了，不推荐。,1,
130,user_130,图片是骗人的，实际产品非常廉价感。,1,
131,user_131,太失望了，跟描述完全不符，浪费钱。,1,False
132,user_132,物流慢得要死，等了一个星期才收到。,1,
133,,客服不理人，售后也不解决问题，差评！,1,False
134,user_134,用了两次就坏了，质量太差了，不推荐。,2,False
135,user_135,图片是骗人的，实际产品非常廉价感。,1,True
136,user_136,太失望了，跟描述完全不符，浪费钱。,1,True
137,user_137,物流慢得要死，等了一个星期才收到。,1,
138,user_138,客服不理人，售后也不解决问题，差评！,2,False
139,user_139,用了两次就坏了，质量太差了，不推荐。,1,False
140,,图片是骗人的，实际产品非常廉价感。,2,True
141,user_141,太失望了，跟描述完全不符，浪费钱。,2,True
142,user_142,物流慢得要死，等了一个星期才收到。,1,False
143,user_143,客服不理人，售后也不解决问题，差评！,1,True
144,user_144,用了两次就坏了，质量太差了，不推荐。,2,
145,user_145,图片是骗人的，实际产品非常廉价感。,2,False
146,user_146,太失望了，跟描述完全不符，浪费钱。,2,True
147,,物流慢得要死，等了一个星期才收到。,2,
148,user_148,客服不理人，售后也不解决问题，差评！,2,False
149,user_149,用了两次就坏了，质量太差了，不推荐。,1,
150,user_150,图片是骗人的，实际产品非常廉价感。,1,
151,user_151,太失望了，跟描述完全不符，浪费钱。,1,False
152,user_152,物流慢得要死，等了一个星期才收到。,1,
153,user_153,客服不理人，售后也不解决问题，差评！,2,True
154,,用了两次就坏了，质量太差了，不推荐。,1,True
155,user_155,图片是骗人的，实际产品非常廉价感。,1,True
156,user_156,太失望了，跟描述完全不符，浪费钱。,1,
157,user_157,物流慢得要死，等了一个星期才收到。,1,True
158,user_158,客服不理人，售后也不解决问题，差评！,1,
159,user_159,用了两次就坏了，质量太差了，不推荐。,1,True
160,user_160,图片是骗人的，实际产品非常廉价感。,1,False
161,,太失望了，跟描述完全不符，浪费钱。,1,
162,user_162,物流慢得要死，等了一个星期才收到。,1,
163,user_163,客服不理人，售后也不解决问题，差评！,2,True
164,user_164,用了两次就坏了，质量太差了，不推荐。,1,False
165,user_165,图片是骗人的，实际产品非常廉价感。,1,True
166,user_166,太失望了，跟描述完全不符，浪费钱。,2,True
167,user_167,物流慢得要死，等了一个星期才收到。,2,False
168,,客服不理人，售后也不解决问题，差评！,1,False
169,user_169,用了两次就坏了，质量太差了，不推荐。,1,True
170,user_170,图片是骗人的，实际产品非常廉价感。,2,False
171,user_171,太失望了，跟描述完全不符，浪费钱。,1,True
172,user_172,物流慢得要死，等了一个星期才收到。,2,
173,user_173,客服不理人，售后也不解决问题，差评！,2,True
174,user_174,用了两次就坏了，质量太差了，不推荐。,1,
175,,图片是骗人的，实际产品非常廉价感。,1,True
176,user_176,太失望了，跟描述完全不符，浪费钱。,1,False
177,user_177,物流慢得要死，等了一个星期才收到。,2,
178,user_178,客服不理人，售后也不解决问题，差评！,2,False
179,user_179,用了两次就坏了，质量太差了，不推荐。,2,
180,user_180,图片是骗人的，实际产品非常廉价感。,2,
181,user_181,太失望了，跟描述完全不符，浪费钱。,2,True
182,,物流慢得要死，等了一个星期才收到。,1,True
183,user_183,客服不理人，售后也不解决问题，差评！,1,True
184,user_184,用了两次就坏了，质量太差了，不推荐。,1,True
185,user_185,图片是骗人的，实际产品非常廉价感。,2,False
186,user_186,太失望了，跟描述完全不符，浪费钱。,2,True
187,user_187,物流慢得要死，等了一个星期才收到。,1,True
188,user_188,客服不理人，售后也不解决问题，差评！,1,
189,,用了两次就坏了，质量太差了，不推荐。,1,False
190,user_190,图片是骗人的，实际产品非常廉价感。,1,False
191,user_191,太失望了，跟描述完全不符，浪费钱。,2,
192,user_192,物流慢得要死，等了一个星期才收到。,1,
193,user_193,客服不理人，售后也不解决问题，差评！,2,True
194,user_194,用了两次就坏了，质量太差了，不推荐。,1,False
195,user_195,图片是骗人的，实际产品非常廉价感。,2,True
196,,太失望了，跟描述完全不符，浪费钱。,2,
197,user_197,物流慢得要死，等了一个星期才收到。,1,True
198,user_198,客服不理人，售后也不解决问题，差评！,1,False
199,user_199,用了两次就坏了，质量太差了，不推荐。,2,True
200,user_200,图片是骗人的，实际产品非常廉价感。,1,False
